id,metric_name,modelo_registry_id,warning_treshold,critical_treshold,direction,valid_from,valid_to,,,,
1,psi,bb_1,0.2,0.25,higher_worse,01/01/25,31/01/25,,,,
2,null_rate,bb_1,0.03,0.1,higher_worse,01/01/25,31/01/25,,,,
6,gini_b_malo4_6,bb_1,0.1,0.05,lower_worse,01/01/25,31/01/25,,,,
7,ks_b_malo4_6,bb_1,0.05,0.025,lower_worse,01/01/25,31/01/25,,,,
8,ordering_violations_b_malo4_6,bb_1,3,4,higher_worse,01/01/25,31/01/25,,,,
9,gini_b_malo8_13,bb_1,0.1,0.05,lower_worse,01/01/25,31/01/25,,,,
10,ks_b_malo8_13,bb_1,0.05,0.025,lower_worse,01/01/25,31/01/25,,,,
11,ordering_violations_b_malo8_13,bb_1,3,4,higher_worse,01/01/25,31/01/25,,,,
12,gini_b_malo14_26,bb_1,0.1,0.05,lower_worse,01/01/25,31/01/25,,,,
13,ks_b_malo14_26,bb_1,0.05,0.025,lower_worse,01/01/25,31/01/25,,,,
14,ordering_violations_b_malo14_26,bb_1,3,4,higher_worse,01/01/25,31/01/25,,,,
18,gini_EDOMEANTI813REZ,bb_1,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
19,gini_CPMEANTI813REZ,bb_1,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
20,gini_EDAD,bb_1,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
21,gini_CPMEANTI46REZ,bb_1,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
22,gini_SEXO,bb_1,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
23,gini_CPTI813REZ,bb_1,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
24,psi,bb_2,0.2,0.25,lower_worse,01/01/25,31/01/25,,,,
25,null_rate,bb_2,0.03,0.1,lower_worse,01/01/25,31/01/25,,,,
29,gini_b_malo4_6,bb_2,0.1,0.05,higher_worse,01/01/25,31/01/25,,,,
30,ks_b_malo4_6,bb_2,0.05,0.025,lower_worse,01/01/25,31/01/25,,,,
31,ordering_violations_b_malo4_6,bb_2,3,4,lower_worse,01/01/25,31/01/25,,,,
32,gini_b_malo8_13,bb_2,0.1,0.05,higher_worse,01/01/25,31/01/25,,,,
33,ks_b_malo8_13,bb_2,0.05,0.025,lower_worse,01/01/25,31/01/25,,,,
34,ordering_violations_b_malo8_13,bb_2,3,4,lower_worse,01/01/25,31/01/25,,,,
35,gini_b_malo14_26,bb_2,0.1,0.05,higher_worse,01/01/25,31/01/25,,,,
36,ks_b_malo14_26,bb_2,0.05,0.025,lower_worse,01/01/25,31/01/25,,,,
37,ordering_violations_b_malo14_26,bb_2,3,4,lower_worse,01/01/25,31/01/25,,,,
41,gini_EDAD,bb_2,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
42,gini_PCTTOTVIDA13S,bb_2,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
43,gini_PORCFCONSTCDC12M,bb_2,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
44,gini_ICV,bb_2,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
45,gini_UTILIZACION,bb_2,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
46,gini_CPMEANTI813REZ,bb_2,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
47,gini_ICVPC,bb_2,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
48,gini_CPMEANTI46REZ,bb_2,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
49,gini_EDOMEDIANTI813REZ,bb_2,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
50,gini_INTERCEPTO,bb_2,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
51,gini_CTASPAGOMINCERRADAS,bb_2,0.15,0.05,lower_worse,01/01/25,31/01/25,,,,
52,psi,bb_3,0.2,0.25,lower_worse,01/01/25,31/01/25,,,,
53,null_rate,bb_3,0.03,0.1,lower_worse,01/01/25,31/01/25,,,,
57,gini_b_malo4_6,bb_3,0.1,0.05,higher_worse,01/01/25,31/01/25,,,,
58,ks_b_malo4_6,bb_3,0.05,0.025,lower_worse,01/01/25,31/01/25,,,,
