cliente_unico,num_periodo,vinculado,ant_cap,ant_dig,antg_capta_12m,antg_capta_3m,avg_mto_conveniencia,avg_mto_internet,avg_num_canal_cajero_6,avg_num_guardadito_6,avg_num_semanas_act,avg_sld_guardadito_6,cod_antiguedad,cod_nivel_cuenta,dias_ult_disp,disp_mensual,flg_compra_ta_12m,flg_dep_interes_12m,flg_dep_interes_3m,huella_digital,ind_cuenta_capta,ind_sin_cuenta,min_sld_tot_prod_cap_6m,monto_compra_dolares,monto_eeuu_u12meses,monto_pago,monto_u12meses,monto_venta_pesos,mto_dep_interes_12m,mto_dep_nomina_n3,mto_dep_nomina_n6,nom_giro_empresa,nu_fam2,num_conveniencia,num_dep_nomina_n3,num_no_monetarias,num_prom_dif_ses,num_tienda_desc,prom_txn_capta12m,prom_txn_capta3m,prom_txn_dep_interes_12m,prom_txn_dep_spei_3m,sld_fin_mes_n3,sld_fin_mes_n6,sld_prom_mensual,sld_prom_mensual_n3,sld_prom_mensual_n6,sld_prom_mes,sld_tot_prod_cap_3,sld_vista,std_num_ret_cliente_6m,txn_compra,txn_dispo_atm_12m,txn_dispo_atm_3m,txn_dispo_atm_6m,n_txn_mpg_6m,monto_u6meses,flg_ret_spei_12m,prom_txn_dispo_atm_12m,cod_tipo_cliente_geo,prom_txn_dep_spei_12m,mto_dispo_atm_3m,cod_etapa_comercial,prom_txn_compra_12m,cod_periodicidad,avg_num_canal_sucursal_6,ind_dig_mad_uu3,mto_ret_spei_3m,cod_tipo_dispersion_detalle,num_atm2,meses_sintxn_pago,sum_num_dep_interes_6,huella_captacion,segmento_mn,saldo_max_3,txn_total_capta_12m,mto_dep_spei_3m,cod_cat_cliente,flg_dispo_atm_12m,flg_ret_iva_12m,flg_dep_efectivo_12m,prom_txn_dispo_atm_6m,sld_tot_prod_cap_3m,monto_promedio,fcusuariocreacion,fdfechacreacion,num_periodo_mes
1-1-6282-3325,202510,2,4094,2236,0,0,,,,,0.0,,,,,,0,0,0,0,0.0,0.0,,,,,,,0.0,,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,,,,0.0,0.0,,,0,0,0,0,,0,0.0,NULL,0.0,0.0,2,0.0,,0.0,0,0.0,,,,,0,6,0.0,0,0.0,Churn,0,0,0,0.0,0.0,0.0,ubdf_app_baz,1764082518,202510
1-1-2054-18747,202510,2,5525,1641,130,130,,,0.0,0.0,0.0,0.0,,,,,0,1,1,0,,,737.8477,,,,,,0.15,0.0,0.0,,2.0,,0.0,,0.0,,2520.592169,2225.375938,0.15,7000.0,4881.66,12071.15,,1273.4709,1964.90948333,,1474.249,0.0,1.5055453054181618,,0,0,0,0,,1,0.0,NULL,12000.0,0.0,2,0.0,,0.0,0,10.0,,,,6.0,1,6,11016.21,83,7000.0,Churn,0,0,1,0.0,1621.6739000000002,737.1245,ubdf_app_baz,1764082518,202510
1-1-6680-107717,202510,2,2381,2381,78,78,0.0,0.0,1.8333333333333333,1.0,11.0,936.06613333,,,,,1,1,1,1,,,490.8974,,,,,,0.06,0.0,0.0,,2.0,0.0,0.0,14.0,2315.485,0.0,1177.244202,976.39377,0.06,5287.0,5559.78,6612.46,,761.52956667,936.06613333,,634.772,686.813,2.041241452319315,,3,3,3,3,,1,1533.3333333,NULL,23317.0,4600.0,3,2499.0,,0.0,0,22160.0,,7.0,,4.0,1,6,4485.26,119,10574.0,Leal,1,0,1,1533.3333333,698.2492000000001,317.386,ubdf_app_baz,1764082518,202510
1-13-7234-5505,202510,2,1526,1526,0,0,,,0.0,0.0,0.0,0.0,,,,,0,0,0,0,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,3.0,6.0,,1.0,1.0,,1.0,1.0,,,0,0,0,0,,0,0.0,NULL,0.0,0.0,2,0.0,,0.0,0,0.0,,,,,0,6,0.0,0,0.0,Churn,0,0,0,0.0,1.1,0.5,ubdf_app_baz,1764082518,202510
1-1-4747-39730,202510,2,5231,1061,0,0,,,,,0.0,,,,,,0,0,0,0,,,,,,,,,0.0,,,,0.0,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,0,0,0,0,,0,0.0,NULL,0.0,0.0,2,0.0,,0.0,0,0.0,,,,,0,6,0.0,0,0.0,Churn,0,0,0,0.0,0.0,0.0,ubdf_app_baz,1764082518,202510
1-1-7168-46095,202511,6,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,22105.2,0.0,22105.2,,0.0,,,,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0,0,0,0,0.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,7.0,,0,9,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1767398792,202511
1-1-3997-69736,202510,1,1623,327,53,53,989.766129,0.0,1.8333333333333333,0.0,11.0,0.0,,,31.0,16757.6,0,1,1,1,,,512.1506,,,,,,0.51,51273.0,107546.0,GOBIERNO ESTATAL Y MUNICIPAL,3.0,45.0,6.0,1.0,4764.361,0.0,909.8255,1862.287143,0.51,0.0,14055.17,41710.52,,550.1238,1830.82594167,,5575.605,364.993,4.54972526643093,,25,7,11,59,,0,4691.5104,NULL,100.0,17698.36,3,1249.5351852,03 QUINCENAL,0.0,0,0.0,02 DIRECTA CUENTA NOMINA,11.0,,5.0,1,6,9020.02,20,0.0,Leal,1,1,1,4348.2363636,6133.1655,2787.8025,ubdf_app_baz,1764082518,202510
1-1-7126-46883,202511,6,0,0,0,0,,,,,,,,,,,0,0,0,0,,,,,913.0,913.0,913.0,,0.0,,,,1.0,,,,,,0.0,0.0,0.0,0.0,,,,,,0.0,,,,,0,0,0,0,913.0,0,0.0,NULL,0.0,0.0,,0.0,,0.0,0,0.0,,,0.0,,0,9,0.0,0,0.0,,0,0,0,0.0,,,ubdf_app_baz,1767398792,202511
1-1-8757-1386701,202511,7,1974,1027,64,0,,,0.0,0.0,,0.0,,N4,,,0,0,0,0,1.0,0.0,,,,,,,0.0,0.0,0.0,,1.0,,0.0,,0.0,,2475.6,0.0,0.0,0.0,262.56,525.12,27.63789474,43.76,37.50857143,,,,,,0,0,0,0,,0,0.0,NULL,2475.6,0.0,,0.0,,0.0,0,0.0,,,,,0,11,0.0,1,0.0,Churn,0,0,0,0.0,,,ubdf_app_baz,1767398792,202511
1-1-301-95929,202510,2,4087,205,74,74,,,0.0,1.0,5.0,27.00718333,,,,,0,1,1,1,,,43491.2423,,,,,,575.64,0.0,0.0,,3.0,,0.0,,2770.726,,2287.261803,2986.778246,575.64,20473.49,551965.0,1107846.8,,15409.69541111,15923.56274706,,46231.21,10.645,2.966479394838265,,0,0,0,0,,1,0.0,NULL,45354.21,0.0,3,0.0,,0.0,0,25955.0,,,,5.0,1,6,18916.88,61,20473.49,Recurrente,0,1,0,0.0,50854.331000000006,23115.605,ubdf_app_baz,1764082518,202510
