fiidscoreds,fcnumsolicitud,fiidplataforma_serc,fipaiscu,ficanalcu,fisucursalcu,fifoliocu,fiidflujo,fiidsegmento,fiidsegmentobaz,fiidsegmento21,fnpuntaje,fcnombreproducto,fccolor,finivelriesgo,fdregistro,fisucursal,fdfecsol,fcdescgrupo,fitipocred,fitiposol,fctipoproceso,vintage,producto_orig,flg_neta,flg_prioridad,flg_inmediato,fcempnum,fiidplataforma,fiidtiposolicitud,idpersona,ficonsecutivosol,fcdescripcion,descripcion_rechazo,descripcionsubstatus,producto,estatus_final,flg_ou,cte_unico,last_sol,pais_cu,canal_cu,sucursal_cu,folio_cu,formato_cyc,digital,fiunidadnegocio,grupo,subgrupo,m_produc,color_nr_v2,b_riesgo_nr,solicitud_alert,semana_alert,finopedido,fdfechasurt,fdcsaldocapital,b_malo14_26,b_malo14_52,b_malo2_4,b_malo4_6,b_malo8_13,b_malo8_16,first_payment_default2,second_payment_default2,semana_str,semana_num,max_fiidscoreds,plataforma,vintage_eval,flg_surtida,vintage_bis,dif,dif2,flg_baz_boost
49037770,20260102826977652003040441211173583181,1,1,1,9305,4118568,15,1,,1,585,Italika,VERDE,2,02JAN2026:00:00:00,6080,02JAN2026,,,,,2026.01,ITALIKA,1.0,1.0,1.0,,1.0,238.0,202601028269776520030404412111735831,1.0,Autorizada,,Autorizada sin liberar,Italika,Autorizada,1,1-1-9305-4118568,1.0,1,1,9305,4118568,PROPIOS,0,34,Consumo,Movilidad,ITALIKA,NA,,,2026.01,463252,02JAN2026:00:00:00,31298.0,0,0,0,0,0,0,0.0,,202601.0,202601,,Fisico,2026.01,1,2026.01,0,0,0
49116934,2026010780696682200407150179535933081,1,1,1,9305,4132705,15,3,,3,541,Telefonia y Computo,AMARILLO,1,07JAN2026:00:00:00,2217,07JAN2026,,,,,2026.02,TELEFONIA,1.0,1.0,0.0,1100863.0,1.0,8.0,20260107806966822004071501795359330,1.0,Autorizada,,Liberada sin TAZ,Telefonia,Autorizada,1,1-1-9305-4132705,1.0,1,1,9305,4132705,PROPIOS,0,184,Consumo,Conectividad,TELEFONIA,NA,,,2026.02,546401,11JAN2026:00:00:00,4200.0,0,0,0,0,0,0,,,202602.0,202602,,Fisico,2026.02,1,2026.02,4,4,0
48671427,20251205696979771992010141835222789781,1,1,1,5924,42565,15,5,,2,593,Italika,VERDE,2,05DEC2025:00:00:00,3625,05DEC2025,,,,,2025.49,ITALIKA,1.0,1.0,1.0,,1.0,238.0,202512056969797719920101418352227897,1.0,Autorizada,,Autorizada sin liberar,Italika,Autorizada,1,1-1-5924-42565,1.0,1,1,5924,42565,PROPIOS,0,34,Consumo,Movilidad,ITALIKA,Rojo,R3,20190416145358145358474030,2026.02,1609549,05JAN2026:00:00:00,22999.0,0,0,0,0,0,0,,,202602.0,202602,,Fisico,2025.49,1,2026.02,31,31,0
48915504,20251223718590761991040861715739958781,1,1,1,6148,33853,14,8,,3,532,Prestamos Personales,ROJO,1,23DEC2025:00:00:00,6148,23DEC2025,,,,,2025.52,PRESTAMOS,1.0,1.0,0.0,312679.0,1.0,8.0,202512237185907619910408617157399587,1.0,Autorizada,,Liberada sin TAZ,Prestamos,Autorizada,1,1-1-6148-33853,1.0,1,1,6148,33853,PROPIOS,0,34,Consumo,Movilidad,ITALIKA,Amarillo,R3,20180625153054153055098424,2026.02,294164,08JAN2026:00:00:00,20063.0,0,0,0,0,0,0,,,202602.0,202602,,Fisico,2025.52,1,2026.02,16,16,1
40753171,20240808766583791978072961251740396681,1,1,1,8192,3140,9,5,3.0,3,272,Prestamos Personales,VERDE,3,08AUG2024:00:00:00,4608,11JAN2026,,,,,2026.02,PRESTAMOS,1.0,1.0,1.0,,1.0,238.0,202408087665837919780729612517403966,1.0,Autorizada,,Autorizada sin liberar,Prestamos,Autorizada,1,1-1-8192-3140,1.0,1,1,8192,3140,PROPIOS,0,184,Consumo,Conectividad,TELEFONIA,NA,,,2026.02,1703751,11JAN2026:00:00:00,8586.0,0,0,0,0,0,0,,,202602.0,202602,,Fisico,2024.32,1,2026.02,0,521,0
48915186,202512237679777620051003017384533481,39,1,1,7604,44611746,15,8,,3,550,Prestamos Personales,AMARILLO,1,23DEC2025:00:00:00,7375,23DEC2025,,,,,2025.52,PRESTAMOS,1.0,1.0,0.0,1071899.0,39.0,8.0,2025122376797776200510030173845334,1.0,Autorizada,,Liberada sin TAZ,Prestamos,Autorizada,1,1-1-7604-44611746,1.0,1,1,7604,44611746,PROPIOS,0,578,Efectivo,Efectivo,CRED EFEC,NA,,,2026.01,700026845,30DEC2025:00:00:00,6000.0,0,0,0,0,0,0,0.0,,202601.0,202601,,Digital,2025.52,1,2026.01,7,7,0
49008371,2025123080657678198705096151687154281,1,1,51,6801,4058,15,2,,2,557,Italika,VERDE,3,30DEC2025:00:00:00,6381,30DEC2025,,,,,2026.01,ITALIKA,1.0,1.0,1.0,,1.0,238.0,20251230806576781987050961516871542,1.0,Autorizada,,Autorizada sin liberar,Italika,Autorizada,1,1-51-6801-4058,1.0,1,51,6801,4058,PROPIOS,0,34,Consumo,Movilidad,ITALIKA,NA,,,2026.01,574467,30DEC2025:00:00:00,37141.0,0,0,0,0,0,0,0.0,,202601.0,202601,,Fisico,2026.01,1,2026.01,0,0,0
49093157,20260105826977821981042201747597255181,39,1,33,7760,261469,15,3,,3,575,Italika,VERDE,2,05JAN2026:00:00:00,3134,05JAN2026,,,,,2026.02,ITALIKA,1.0,1.0,1.0,,39.0,238.0,202601058269778219810422017475972551,1.0,Autorizada,,Autorizada sin liberar,Italika,Autorizada,1,1-33-7760-261469,1.0,1,33,7760,261469,PROPIOS,0,34,Consumo,Movilidad,ITALIKA,NA,,,2026.02,88551,11JAN2026:00:00:00,38898.0,0,0,0,0,0,0,,,202602.0,202602,,Digital,2026.02,1,2026.02,6,6,0
49101131,2026010682796677196206060135157855881,1,1,1,9305,4129283,15,3,,3,649,Telefonia y Computo,VERDE,1,06JAN2026:00:00:00,9686,06JAN2026,,,,,2026.02,TELEFONIA,1.0,1.0,1.0,,1.0,238.0,20260106827966771962060601351578558,1.0,Autorizada,,Autorizada sin liberar,Telefonia,Autorizada,1,1-1-9305-4129283,1.0,1,1,9305,4129283,PROPIOS,0,184,Consumo,Conectividad,TELEFONIA,NA,,,2026.02,212146,06JAN2026:00:00:00,1499.0,0,0,0,0,0,0,,,202602.0,202602,,Fisico,2026.02,1,2026.02,0,0,0
49041705,2026010280698377199812284144495937681,1,1,39,4729,10787,14,6,,1,690,Prestamos Personales,VERDE,1,02JAN2026:00:00:00,7171,02JAN2026,,,,,2026.01,PRESTAMOS,1.0,1.0,1.0,,1.0,238.0,20260102806983771998122841444959376,1.0,Autorizada,,Autorizada sin liberar,Prestamos,Autorizada,1,1-39-4729-10787,1.0,1,39,4729,10787,PROPIOS,0,578,Efectivo,Efectivo,CRED EFEC,Rojo,R3,20190307141000141001079002,2026.01,700013651,02JAN2026:00:00:00,14500.0,0,0,0,0,0,0,1.0,,202601.0,202601,,Fisico,2026.01,1,2026.01,0,0,1
48989105,2025122967658178198208218131034254281,1,1,1,7317,70912,15,5,,3,625,Italika,VERDE,2,29DEC2025:00:00:00,7317,29DEC2025,,,,,2026.01,ITALIKA,1.0,1.0,1.0,,1.0,238.0,20251229676581781982082181310342542,1.0,Autorizada,,Autorizada sin liberar,Italika,Autorizada,1,1-1-7317-70912,1.0,1,1,7317,70912,PROPIOS,0,184,Consumo,Conectividad,TELEFONIA,NA,,,2026.01,878685,29DEC2025:00:00:00,16949.0,0,0,0,0,0,0,0.0,,202601.0,202601,,Fisico,2026.01,1,2026.01,0,0,0
49095335,20260105797982652002090321933503204681,1,1,1,9305,4128275,15,3,,3,659,Prestamos Personales,VERDE,1,05JAN2026:00:00:00,5887,05JAN2026,,,,,2026.02,PRESTAMOS,1.0,1.0,1.0,,1.0,238.0,202601057979826520020903219335032046,1.0,Autorizada,,Autorizada sin liberar,Prestamos,Autorizada,1,1-1-9305-4128275,1.0,1,1,9305,4128275,PROPIOS,0,184,Consumo,Conectividad,TELEFONIA,NA,,,2026.02,301227,05JAN2026:00:00:00,17299.0,0,0,0,0,0,0,,,202602.0,202602,,Fisico,2026.02,1,2026.02,0,0,0
48963151,2025122786736677200603144154073993181,1,1,1,7604,44563349,15,11,,1,572,Telefonia y Computo,VERDE,2,27DEC2025:00:00:00,2202,27DEC2025,,,,,2025.52,TELEFONIA,1.0,1.0,0.0,1203033.0,1.0,8.0,20251227867366772006031441540739931,1.0,Autorizada,,Liberada sin TAZ,Telefonia,Autorizada,1,1-1-7604-44563349,1.0,1,1,7604,44563349,PROPIOS,0,184,Consumo,Conectividad,TELEFONIA,NA,,,2026.01,2014370,31DEC2025:00:00:00,8749.0,0,0,0,0,0,0,0.0,,202601.0,202601,,Fisico,2025.52,1,2026.01,4,4,0
49129159,20250921777967692007052281931166846681,39,1,1,9305,3853329,14,3,,3,516,Italika,AMARILLO,2,08JAN2026:00:00:00,8502,08JAN2026,,,,,2026.02,ITALIKA,1.0,1.0,0.0,1078808.0,39.0,8.0,202509217779676920070522819311668466,1.0,Autorizada,,Liberada sin TAZ,Italika,Autorizada,1,1-1-9305-3853329,1.0,1,1,9305,3853329,PROPIOS,0,34,Consumo,Movilidad,ITALIKA,NA,,,2026.02,255070,09JAN2026:00:00:00,17460.0,0,0,0,0,0,0,,,202602.0,202602,,Digital,2026.02,1,2026.02,1,1,1
48983864,2024061477858677199910070225805913881,6,1,9,3137,9956,15,5,,3,642,Consumo / Otras Mercancias,VERDE,1,29DEC2025:00:00:00,9036,29DEC2025,,,,,2026.01,CONSUMO,1.0,1.0,0.0,,6.0,8.0,20240614778586771999100702258059138,1.0,Autorizada,,Autorizada sin liberar,Consumo,Autorizada,1,1-9-3137-9956,1.0,1,9,3137,9956,TERCEROS,1,576,Efectivo,Efectivo,CRED EFEC,Verde,R1,20240127102212102212949585,2026.01,700000493,29DEC2025:00:00:00,16000.0,0,0,0,0,0,0,0.0,,202601.0,202601,,Digital,2026.01,1,2026.01,0,0,0
48930399,2024092868696889199612270949667444381,6,1,1,1083,97678,15,5,,2,527,Italika,AMARILLO,2,24DEC2025:00:00:00,8176,24DEC2025,,,,,2025.52,ITALIKA,1.0,1.0,0.0,1154963.0,6.0,8.0,20240928686968891996122709496674443,1.0,Autorizada,,Liberada sin TAZ,Italika,Autorizada,1,1-1-1083-97678,1.0,1,1,1083,97678,PROPIOS,0,34,Consumo,Movilidad,ITALIKA,Verde,R2,20240424191838191838775697,2026.01,310620,31DEC2025:00:00:00,19618.0,0,0,0,0,0,0,0.0,,202601.0,202601,,Digital,2025.52,1,2026.01,7,7,0
48901803,20251222906567652005011181818830189681,1,1,1,7604,3524969,15,8,,3,535,Telefonia y Computo,ROJO,2,22DEC2025:00:00:00,9782,22DEC2025,,,,,2025.52,TELEFONIA,1.0,1.0,0.0,1165931.0,1.0,8.0,202512229065676520050111818188301896,1.0,Autorizada,,Liberada sin TAZ,Telefonia,Autorizada,1,1-1-7604-3524969,1.0,1,1,7604,3524969,PROPIOS,0,34,Consumo,Movilidad,ITALIKA,NA,,,2026.02,143770,05JAN2026:00:00:00,19298.0,0,0,0,0,0,0,,,202602.0,202602,,Fisico,2025.52,1,2026.02,14,14,0
49062048,20260103866572821972071681713342775781,1,1,1,3450,91708,15,3,,3,601,Consumo / Otras Mercancias,VERDE,2,03JAN2026:00:00:00,3120,03JAN2026,,,,,2026.01,CONSUMO,1.0,1.0,1.0,,1.0,238.0,202601038665728219720716817133427757,1.0,Autorizada,,Autorizada sin liberar,Consumo,Autorizada,1,1-1-3450-91708,1.0,1,1,3450,91708,PROPIOS,0,0,Consumo,Hogar,MERCANCIA,NA,,,2026.01,838307,03JAN2026:00:00:00,13813.0,0,0,0,0,0,0,,,202601.0,202601,,Fisico,2026.01,1,2026.01,0,0,0
49055647,20260103696967671996072761252681589081,1,1,9,1543,13350,15,3,,3,682,Prestamos Personales,VERDE,1,03JAN2026:00:00:00,5733,03JAN2026,,,,,2026.01,PRESTAMOS,1.0,1.0,1.0,,1.0,238.0,202601036969676719960727612526815890,1.0,Autorizada,,Autorizada sin liberar,Prestamos,Autorizada,1,1-9-1543-13350,1.0,1,9,1543,13350,PROPIOS,0,34,Consumo,Movilidad,ITALIKA,NA,,,2026.02,1351447,05JAN2026:00:00:00,34820.0,0,0,0,0,0,0,,,202602.0,202602,,Fisico,2026.01,1,2026.02,2,2,0
48921148,20251224767976771996121149121539435761,1,1,27,8244,6933,15,4,,3,595,Italika,VERDE,2,24DEC2025:00:00:00,8244,24DEC2025,,,,,,,,,,,,,,,,,,,,1,,,1,27,8244,6933,TERCEROS,0,34,Consumo,Movilidad,ITALIKA,Amarillo,R3,20220220152545152546002974,2026.01,21676,29DEC2025:00:00:00,30000.0,0,0,0,0,0,0,0.0,,,202601,48921148.0,Fisico,2025.52,1,2026.01,5,5,0
48980563,20250322776982692000030182220771696381,1,1,1,6187,52710,15,5,,3,573,Prestamos Personales,VERDE,2,28DEC2025:00:00:00,9603,28DEC2025,,,,,2025.52,PRESTAMOS,1.0,1.0,1.0,,1.0,238.0,202503227769826920000301822207716963,1.0,Autorizada,,Autorizada sin liberar,Prestamos,Autorizada,1,1-1-6187-52710,1.0,1,1,6187,52710,PROPIOS,0,0,Consumo,Hogar,MERCANCIA,Verde,R1,2023083005583455835328891,2026.01,1735452,30DEC2025:00:00:00,949.0,0,0,0,0,0,0,,,202601.0,202601,,Fisico,2025.52,1,2026.01,2,2,0
49106407,202601067185707719650815818027811781,1,1,2,9241,25416,15,3,,3,655,Italika,VERDE,1,06JAN2026:00:00:00,3094,06JAN2026,,,,,2026.02,ITALIKA,1.0,1.0,1.0,,1.0,238.0,2026010671857077196508158180278117,1.0,Autorizada,,Autorizada sin liberar,Italika,Autorizada,1,1-2-9241-25416,1.0,1,2,9241,25416,PROPIOS,0,34,Consumo,Movilidad,ITALIKA,NA,,,2026.02,1279455,06JAN2026:00:00:00,26594.0,0,0,0,0,0,0,,,202602.0,202602,,Fisico,2026.02,1,2026.02,0,0,0
49055416,20260103718566841964101541250999402781,1,1,1,214,28007,15,5,,3,758,Telefonia y Computo,VERDE,1,03JAN2026:00:00:00,214,03JAN2026,,,,,2026.01,TELEFONIA,1.0,1.0,1.0,,1.0,238.0,202601037185668419641015412509994027,1.0,Autorizada,,Autorizada sin liberar,Telefonia,Autorizada,1,1-1-214-28007,1.0,1,1,214,28007,PROPIOS,0,184,Consumo,Conectividad,TELEFONIA,NA,,,2026.01,439979,03JAN2026:00:00:00,7950.0,0,0,0,0,0,0,,,202601.0,202601,,Fisico,2026.01,1,2026.01,0,0,0
49015773,2025123165657073200312144015629370681,39,1,1,8757,696546,15,10,,3,619,Prestamos Personales,VERDE,2,31DEC2025:00:00:00,6318,31DEC2025,,,,,2026.01,PRESTAMOS,1.0,1.0,0.0,1050208.0,39.0,8.0,20251231656570732003121440156293706,1.0,Autorizada,,Liberada sin TAZ,Prestamos,Autorizada,1,1-1-8757-696546,1.0,1,1,8757,696546,PROPIOS,0,0,Consumo,Hogar,MERCANCIA,NA,,,2026.01,611628,01JAN2026:00:00:00,7428.0,0,0,0,0,0,0,,,202601.0,202601,,Digital,2026.01,1,2026.01,1,1,0
