fiidscoreds,fipais,ficanal,fisucursal,fcnumsolicitud,fipaiscu,ficanalcu,fisucursalcu,fifoliocu,fiidsegmento,fnpuntaje,fcnombresegmento21,fiidvariable,fcnombre_variable,fcvalor_variable,fnpuntaje_variable,fitipo_variable,fdregistro_solicitud,fcusrcreacion,fdfechacreacion_fuente,fcusuariocreacion,fdfechacreacion
42394742,1,1,3175,2.02211E+37,1,1,2074,49116,3,441,BIG FILES,107,INTERCEPTO,-100,418,1,1.73165E+12,CONTINGENCIA,1.73193E+12,ubdf_app_baz,1.77129E+12
42394742,1,1,3175,2.02211E+37,1,1,2074,49116,3,441,BIG FILES,26,MAXMOP52S,84,,1,1.73165E+12,CONTINGENCIA,1.73193E+12,ubdf_app_baz,1.77129E+12
42394742,1,1,3175,2.02211E+37,1,1,2074,49116,3,441,BIG FILES,30,UTILTARGETHOLD,0.491704417,7,1,1.73165E+12,CONTINGENCIA,1.73193E+12,ubdf_app_baz,1.77129E+12
42394742,1,1,3175,2.02211E+37,1,1,2074,49116,3,441,BIG FILES,39,MINSEMULTCOMP,12,,1,1.73165E+12,CONTINGENCIA,1.73193E+12,ubdf_app_baz,1.77129E+12
42394742,1,1,3175,2.02211E+37,1,1,2074,49116,3,441,BIG FILES,105,SUMABIERTAS26S,3,,1,1.73165E+12,CONTINGENCIA,1.73193E+12,ubdf_app_baz,1.77129E+12
42394742,1,1,3175,2.02211E+37,1,1,2074,49116,3,441,BIG FILES,21,CTASPAGOMINCERRADAS,1,,1,1.73165E+12,CONTINGENCIA,1.73193E+12,ubdf_app_baz,1.77129E+12
42394742,1,1,3175,2.02211E+37,1,1,2074,49116,3,441,BIG FILES,27,MAXSEMULTPAGAACTIVAS,308,,1,1.73165E+12,CONTINGENCIA,1.73193E+12,ubdf_app_baz,1.77129E+12
42394742,1,1,3175,2.02211E+37,1,1,2074,49116,3,441,BIG FILES,56,COCTOTCONSCDC3M12M,0.111111111,9,1,1.73165E+12,CONTINGENCIA,1.73193E+12,ubdf_app_baz,1.77129E+12
42394742,1,1,3175,2.02211E+37,1,1,2074,49116,3,441,BIG FILES,53,TPFCONSCDC12M,6,,1,1.73165E+12,CONTINGENCIA,1.73193E+12,ubdf_app_baz,1.77129E+12
42394742,1,1,3175,2.02211E+37,1,1,2074,49116,3,441,BIG FILES,29,MEANSEMVIDACARD,-100,7,1,1.73165E+12,CONTINGENCIA,1.73193E+12,ubdf_app_baz,1.77129E+12
42394742,1,1,3175,2.02211E+37,1,1,2074,49116,3,441,BIG FILES,60,KO1ANT,1,,1,1.73165E+12,CONTINGENCIA,1.73193E+12,ubdf_app_baz,1.77129E+12
42394742,1,1,3175,2.02211E+37,1,1,2074,49116,3,441,BIG FILES,5,EDAD,34,,1,1.73165E+12,CONTINGENCIA,1.73193E+12,ubdf_app_baz,1.77129E+12
42394742,1,1,3175,2.02211E+37,1,1,2074,49116,3,441,BIG FILES,59,KO3SV,14514,,1,1.73165E+12,CONTINGENCIA,1.73193E+12,ubdf_app_baz,1.77129E+12
42394742,1,1,3175,2.02211E+37,1,1,2074,49116,3,441,BIG FILES,17,MAXANTCARD,0,,1,1.73165E+12,CONTINGENCIA,1.73193E+12,ubdf_app_baz,1.77129E+12
42418242,1,1,9159,2.02411E+37,1,1,9735,9744,3,512,BIG FILES,21,CTASPAGOMINCERRADAS,4,20,1,1.73165E+12,CONTINGENCIA,1.73193E+12,ubdf_app_baz,1.77129E+12
42418242,1,1,9159,2.02411E+37,1,1,9735,9744,3,512,BIG FILES,29,MEANSEMVIDACARD,204.5,9,1,1.73165E+12,CONTINGENCIA,1.73193E+12,ubdf_app_baz,1.77129E+12
42418242,1,1,9159,2.02411E+37,1,1,9735,9744,3,512,BIG FILES,5,EDAD,24,,1,1.73165E+12,CONTINGENCIA,1.73193E+12,ubdf_app_baz,1.77129E+12
42418242,1,1,9159,2.02411E+37,1,1,9735,9744,3,512,BIG FILES,105,SUMABIERTAS26S,0,30,1,1.73165E+12,CONTINGENCIA,1.73193E+12,ubdf_app_baz,1.77129E+12
42418242,1,1,9159,2.02411E+37,1,1,9735,9744,3,512,BIG FILES,26,MAXMOP52S,365.4,,1,1.73165E+12,CONTINGENCIA,1.73193E+12,ubdf_app_baz,1.77129E+12
42418242,1,1,9159,2.02411E+37,1,1,9735,9744,3,512,BIG FILES,39,MINSEMULTCOMP,38,,1,1.73165E+12,CONTINGENCIA,1.73193E+12,ubdf_app_baz,1.77129E+12
42418242,1,1,9159,2.02411E+37,1,1,9735,9744,3,512,BIG FILES,56,COCTOTCONSCDC3M12M,0.25,9,1,1.73165E+12,CONTINGENCIA,1.73193E+12,ubdf_app_baz,1.77129E+12
42418242,1,1,9159,2.02411E+37,1,1,9735,9744,3,512,BIG FILES,27,MAXSEMULTPAGAACTIVAS,147,,1,1.73165E+12,CONTINGENCIA,1.73193E+12,ubdf_app_baz,1.77129E+12
42418242,1,1,9159,2.02411E+37,1,1,9735,9744,3,512,BIG FILES,30,UTILTARGETHOLD,0.333188259,9,1,1.73165E+12,CONTINGENCIA,1.73193E+12,ubdf_app_baz,1.77129E+12
42418242,1,1,9159,2.02411E+37,1,1,9735,9744,3,512,BIG FILES,107,INTERCEPTO,-100,418,1,1.73165E+12,CONTINGENCIA,1.73193E+12,ubdf_app_baz,1.77129E+12
42418242,1,1,9159,2.02411E+37,1,1,9735,9744,3,512,BIG FILES,17,MAXANTCARD,131,6,1,1.73165E+12,CONTINGENCIA,1.73193E+12,ubdf_app_baz,1.77129E+12
42418242,1,1,9159,2.02411E+37,1,1,9735,9744,3,512,BIG FILES,60,KO1ANT,1,,1,1.73165E+12,CONTINGENCIA,1.73193E+12,ubdf_app_baz,1.77129E+12
42418242,1,1,9159,2.02411E+37,1,1,9735,9744,3,512,BIG FILES,59,KO3SV,23765,,1,1.73165E+12,CONTINGENCIA,1.73193E+12,ubdf_app_baz,1.77129E+12
42418242,1,1,9159,2.02411E+37,1,1,9735,9744,3,512,BIG FILES,53,TPFCONSCDC12M,5,11,1,1.73165E+12,CONTINGENCIA,1.73193E+12,ubdf_app_baz,1.77129E+12
42753303,1,1,2397,2.02412E+37,1,1,2397,45823,3,565,BIG FILES,5,EDAD,33,,1,1.73303E+12,CONTINGENCIA,1.73314E+12,ubdf_app_baz,1.77129E+12
42753303,1,1,2397,2.02412E+37,1,1,2397,45823,3,565,BIG FILES,21,CTASPAGOMINCERRADAS,2,3,1,1.73303E+12,CONTINGENCIA,1.73314E+12,ubdf_app_baz,1.77129E+12
42753303,1,1,2397,2.02412E+37,1,1,2397,45823,3,565,BIG FILES,17,MAXANTCARD,112,6,1,1.73303E+12,CONTINGENCIA,1.73314E+12,ubdf_app_baz,1.77129E+12
42753303,1,1,2397,2.02412E+37,1,1,2397,45823,3,565,BIG FILES,30,UTILTARGETHOLD,0.214911527,10,1,1.73303E+12,CONTINGENCIA,1.73314E+12,ubdf_app_baz,1.77129E+12
42753303,1,1,2397,2.02412E+37,1,1,2397,45823,3,565,BIG FILES,26,MAXMOP52S,56.55,2,1,1.73303E+12,CONTINGENCIA,1.73314E+12,ubdf_app_baz,1.77129E+12
